TEAM ID,TEAM,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Abilene Christian,0.7,53,0.7,57,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
2,Akron,-1,192,-1.3,198,5,0,5,0,5,0,0,0,0,0,0,0,0.50%,0.00%
3,Alabama,0.2,77,-0.5,163,15,9,6,0.6,6,4,3,1,1,0,0,2,53.80%,16.30%
4,Albany,-0.4,156,-0.3,153,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
6,American,-0.5,166,-0.4,159,3,0,3,0,3,0,0,0,0,0,0,0,0.20%,0.00%
8,Arizona,-2.4,219,-2.8,226,31,19,12,0.613,12,8,8,3,0,0,0,6,88.70%,39.80%
9,Arizona St.,-2,216,-2,215,5,1,4,0.2,4,1,0,0,0,0,0,0,9.40%,1.60%
10,Arkansas,4.3,11,3.5,14,18,11,7,0.611,7,6,3,2,0,0,0,0,17.40%,1.80%
11,Arkansas Pine Bluff,0,83,0,82,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
12,Auburn,-1.5,204,-0.2,143,12,7,5,0.583,5,4,1,1,1,0,0,1,44.80%,10.20%
13,Austin Peay,-0.1,114,-0.1,116,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
14,Baylor,0.2,79,-1.1,191,31,20,11,0.645,12,9,5,3,1,1,1,2,82.50%,33.60%
15,Belmont,-2.4,220,-1.9,212,6,0,6,0,6,0,0,0,0,0,0,0,6.40%,0.50%
16,Binghamton,-0.1,113,-0.1,115,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
17,Boise St.,-1.2,195,-1.5,204,3,0,3,0,3,0,0,0,0,0,0,0,2.00%,0.20%
18,Boston College,-0.4,161,-0.9,178,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
19,Boston University,-0.1,104,0,100,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
20,Bradley,0,98,-0.1,107,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
22,Bucknell,-1.2,199,-1.2,197,4,0,4,0,4,0,0,0,0,0,0,0,1.90%,0.10%
23,Buffalo,-0.1,118,0,104,6,2,4,0.333,4,2,0,0,0,0,0,0,1.90%,0.10%
24,Butler,7,4,8.7,3,26,17,9,0.654,9,8,3,2,2,2,0,0,37.30%,5.70%
25,BYU,-4.6,239,-4,235,11,3,8,0.273,8,2,1,0,0,0,0,0,31.60%,5.60%
26,Cal Poly,-0.1,106,0,101,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
27,Cal St. Bakersfield,-0.2,127,-0.1,118,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
28,Cal St. Fullerton,-0.3,150,-0.4,157,3,0,3,0,3,0,0,0,0,0,0,0,0.10%,0.00%
29,Cal St. Northridge,-0.1,108,-0.1,112,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
30,California,-1.4,203,-1.7,207,6,2,4,0.333,4,2,0,0,0,0,0,0,8.20%,1.00%
31,Chattanooga,-0.5,168,-0.8,176,3,0,3,0,3,0,0,0,0,0,0,0,0.30%,0.00%
32,Cincinnati,-3.6,234,-3.5,233,15,6,9,0.4,9,5,1,0,0,0,0,1,43.60%,11.60%
33,Clemson,-2.2,218,-1.6,205,12,5,7,0.417,7,2,2,1,0,0,0,0,26.20%,3.50%
34,Cleveland St.,0.4,69,0.6,59,3,1,2,0.333,2,1,0,0,0,0,0,0,1.20%,0.10%
35,Coastal Carolina,-0.1,103,0,99,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
36,Colgate,-1,188,-0.7,175,5,0,5,0,5,0,0,0,0,0,0,0,0.50%,0.00%
37,College of Charleston,-0.8,180,-1,187,3,0,3,0,3,0,0,0,0,0,0,0,0.80%,0.00%
38,Colorado,-1,191,-1.4,200,9,3,6,0.333,6,3,0,0,0,0,0,0,15.90%,2.00%
39,Colorado St.,-0.9,181,-2,213,5,1,4,0.2,4,1,0,0,0,0,0,0,3.30%,0.30%
40,Connecticut,10.8,2,13.3,1,35,29,6,0.829,10,6,5,5,5,4,4,2,86.30%,49.10%
42,Cornell,1.1,38,1.2,35,5,2,3,0.4,3,1,1,0,0,0,0,0,2.00%,0.10%
43,Creighton,0.6,56,1.1,40,20,11,9,0.55,9,7,3,1,0,0,0,0,38.90%,6.90%
44,Davidson,-0.9,182,0.3,76,9,3,6,0.333,6,1,1,1,0,0,0,0,11.20%,2.30%
45,Dayton,2.9,20,1.3,32,12,6,6,0.5,6,4,1,1,0,0,0,0,5.10%,0.10%
46,Delaware,-0.3,149,-0.4,156,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
47,Detroit,-0.1,110,-0.1,114,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
48,Drake,-2.8,228,-2.9,228,4,0,4,0,4,0,0,0,0,0,0,0,9.60%,1.00%
49,Drexel,-0.1,100,0,98,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
50,Duke,3.1,19,1.4,30,50,37,13,0.74,15,13,10,7,3,2,2,11,97.80%,62.60%
246,Duquesne,0.6,55,0.3,75,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
51,East Tennessee St.,-0.4,153,-0.3,152,3,0,3,0,3,0,0,0,0,0,0,0,0.30%,0.00%
52,Eastern Kentucky,-0.2,134,-0.1,120,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
53,Eastern Washington,-0.5,167,-0.4,160,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
54,Fairleigh Dickinson,1,40,1,42,3,1,2,0.333,2,1,0,0,0,0,0,0,0.00%,0.00%
55,Florida,3.4,17,5,9,29,19,10,0.655,10,8,5,5,1,0,0,2,76.60%,31.40%
56,Florida Atlantic,2.8,21,2.7,21,6,4,2,0.667,2,1,1,1,1,0,0,0,3.40%,0.40%
57,Florida Gulf Coast,1.5,30,1.7,27,5,2,3,0.4,3,1,1,0,0,0,0,0,0.20%,0.00%
58,Florida St.,1.3,34,1.2,34,19,11,8,0.579,8,6,4,1,0,0,0,0,34.10%,4.60%
59,Fresno St.,-0.4,159,-0.2,139,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
60,Furman,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
61,Gardner Webb,0,94,0,93,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
62,George Mason,-0.2,130,-0.2,131,3,1,2,0.333,2,1,0,0,0,0,0,0,2.40%,0.30%
63,George Washington,-0.6,171,-0.6,171,1,0,1,0,1,0,0,0,0,0,0,0,1.20%,0.10%
64,Georgetown,-6.2,241,-8.4,242,10,3,7,0.3,7,3,0,0,0,0,0,2,38.70%,7.30%
65,Georgia,-1.2,197,-1.4,201,3,0,3,0,3,0,0,0,0,0,0,0,1.60%,0.00%
66,Georgia St.,0.3,73,0.6,60,5,1,4,0.2,4,1,0,0,0,0,0,0,0.20%,0.00%
67,Georgia Tech,-0.4,163,-0.2,141,3,1,2,0.333,2,1,0,0,0,0,0,0,4.90%,0.50%
68,Gonzaga,3.4,16,4.5,11,50,34,16,0.68,16,15,10,5,2,2,0,6,97.40%,68.70%
247,Grambling St.,0,90,0,89,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
69,Grand Canyon,0.3,75,0.2,78,4,1,3,0.25,3,1,0,0,0,0,0,0,0.70%,0.00%
70,Green Bay,-0.2,129,-0.2,130,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
71,Hampton,-0.1,115,0,103,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
72,Hartford,0,95,0,94,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
73,Harvard,0.2,78,0.6,61,6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
74,Hawaii,0.4,67,0.8,55,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
75,Holy Cross,0,89,0,88,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
76,Houston,-1.6,208,0.8,56,21,14,7,0.667,7,6,5,2,1,0,0,3,89.60%,47.80%
77,Howard,-0.1,99,0,97,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
78,Illinois,-2.2,217,-3,229,14,7,7,0.5,7,5,1,1,0,0,0,1,43.70%,9.80%
79,Indiana,-1.6,207,-2.4,219,14,7,7,0.5,7,4,3,0,0,0,0,1,49.20%,12.60%
80,Indiana St.,-0.2,131,-0.2,132,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
81,Iona,-1,190,-1,189,7,0,7,0,7,0,0,0,0,0,0,0,0.60%,0.00%
82,Iowa,-3.1,230,-2.6,222,10,4,6,0.4,6,4,0,0,0,0,0,1,33.00%,7.20%
83,Iowa St.,-2.5,223,-1.8,211,21,11,10,0.524,10,7,4,0,0,0,0,1,51.60%,10.80%
84,Jacksonville St.,-0.2,138,-0.2,135,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
85,James Madison,0.5,57,0.5,62,3,1,2,0.333,2,1,0,0,0,0,0,0,0.20%,0.00%
86,Kansas,3.9,14,-2.5,220,55,41,14,0.745,16,16,9,7,4,3,2,12,98.80%,73.30%
87,Kansas St.,1.4,32,0.3,74,22,12,10,0.545,10,6,3,3,0,0,0,1,42.70%,8.10%
88,Kennesaw St.,-0.2,139,-0.2,136,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
89,Kent St.,-1.2,196,-1,190,3,0,3,0,3,0,0,0,0,0,0,0,1.10%,0.00%
90,Kentucky,5.3,8,6.6,6,44,32,12,0.727,13,10,8,7,4,2,1,6,96.90%,63.80%
91,La Salle,1.5,28,1.8,26,3,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
92,Lafayette,0,88,0,87,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
94,Lehigh,0.5,63,0.9,47,3,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
95,Liberty,0.3,71,0.2,77,3,1,2,0.333,2,1,0,0,0,0,0,0,0.30%,0.00%
96,Lipscomb,-0.1,101,-0.1,108,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
97,Little Rock,0.5,62,0.5,64,2,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
98,LIU Brooklyn,-0.3,145,-0.1,121,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
99,Long Beach St.,-0.6,174,-0.6,172,2,0,2,0,2,0,0,0,0,0,0,0,1.60%,0.20%
100,Longwood,-0.1,117,-0.2,125,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
101,Louisiana Lafayette,-0.4,155,-0.4,158,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
102,Louisville,1.8,27,3.5,16,31,22,9,0.71,10,7,6,5,2,1,1,3,89.90%,48.70%
103,Loyola Chicago,3.4,15,4,13,9,6,3,0.667,3,2,2,1,1,0,0,0,9.50%,1.20%
104,Loyola MD,-0.1,107,-0.1,111,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
105,LSU,-0.8,179,-0.9,181,9,4,5,0.444,5,3,1,0,0,0,0,0,16.10%,1.60%
106,Manhattan,-0.2,135,-0.3,146,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
107,Marquette,-1.6,209,-2.5,221,23,12,11,0.522,11,7,4,1,0,0,0,2,51.40%,9.50%
108,Marshall,0.7,48,0.8,51,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
109,Maryland,0.4,68,-0.3,144,16,8,8,0.5,8,7,1,0,0,0,0,0,20.90%,2.80%
110,Massachusetts,-0.4,158,-1.1,192,1,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
248,McNeese St.,-0.2,140,-0.5,165,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
111,Memphis,-1,187,0.1,81,18,10,8,0.556,8,5,2,1,1,1,0,2,72.70%,32.50%
112,Mercer,0.8,46,0.8,50,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
