year,region,seed,team_name,winning_bid,owner_name,notes,team_still_alive,cashed_1st_round,payout_round1_bonus,made_sweet_sixteen,made_elite_eight,made_final_four,made_final_game,champs,biggest_loser,total,profit_loss,roi,playin_flag,playin_team_a,playin_team_b,source_section,source_row
2025,Midwest,8,Gonzaga,5800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3
2025,Midwest,10,Utah St,2900,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4
2025,Midwest,12,McNeese,1800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,5
2025,Midwest,4,Purdue,6200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,6
2025,Midwest,11,TX/Xav,4000,UNKNOWN,,,,,,,,,,,,,,Y,TX,Xav,auction_grid_2025,7
2025,Midwest,7,UCLA,4200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,8
2025,Midwest,16,SIUE,4000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,9
2025,Midwest,2,Tennessee,15000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,10
2025,Midwest,15,Wofford,3400,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,11
2025,Midwest,3,Kentucky,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,12
2025,Midwest,13,High Point,2700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,13
2025,Midwest,1,Houston,21500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,14
2025,Midwest,5,Clemson,7000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,15
2025,Midwest,14,Troy,2600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,16
2025,Midwest,9,Georgia,1900,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,17
2025,Midwest,6,U of I,6700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,18
2025,South,8,Louisville,4800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3
2025,South,10,New Mexico,2600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4
