year,region,seed,team_name,winning_bid,owner_name,notes,team_still_alive,cashed_1st_round,payout_round1_bonus,made_sweet_sixteen,made_elite_eight,made_final_four,made_final_game,champs,biggest_loser,total,profit_loss,roi,playin_flag,playin_team_a,playin_team_b,source_section,source_row,team_id_primary,team_id_a,team_id_b,mapping_status,mapping_source
2025,Midwest,8,Gonzaga,5800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3,1211,,,mapped_single,spelling_exact
2025,Midwest,10,Utah St,2900,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4,1429,,,mapped_single,spelling_exact
2025,Midwest,12,McNeese,1800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,5,1270,,,mapped_single,spelling_exact
2025,Midwest,4,Purdue,6200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,6,1345,,,mapped_single,spelling_exact
2025,Midwest,11,TX/Xav,4000,UNKNOWN,,,,,,,,,,,,,,Y,TX,Xav,auction_grid_2025,7,,1400,1462,mapped_combo,alias_map
2025,Midwest,7,UCLA,4200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,8,1417,,,mapped_single,spelling_exact
2025,Midwest,16,SIUE,4000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,9,1188,,,mapped_single,spelling_exact
2025,Midwest,2,Tennessee,15000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,10,1397,,,mapped_single,spelling_exact
2025,Midwest,15,Wofford,3400,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,11,1459,,,mapped_single,spelling_exact
2025,Midwest,3,Kentucky,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,12,1246,,,mapped_single,spelling_exact
2025,Midwest,13,High Point,2700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,13,1219,,,mapped_single,spelling_exact
2025,Midwest,1,Houston,21500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,14,1222,,,mapped_single,spelling_exact
2025,Midwest,5,Clemson,7000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,15,1155,,,mapped_single,spelling_exact
2025,Midwest,14,Troy,2600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,16,1407,,,mapped_single,spelling_exact
2025,Midwest,9,Georgia,1900,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,17,1208,,,mapped_single,spelling_exact
2025,Midwest,6,U of I,6700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,18,1228,,,mapped_single,alias_map
2025,South,8,Louisville,4800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3,1257,,,mapped_single,spelling_exact
2025,South,10,New Mexico,2600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4,1307,,,mapped_single,spelling_exact
2025,South,12,UC San Diego,3100,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,5,1471,,,mapped_single,spelling_exact
2025,South,4,Texas A&M,8300,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,6,1401,,,mapped_single,spelling_exact
2025,South,11,SDSU/UNC,4600,UNKNOWN,,,,,,,,,,,,,,Y,SDSU,UNC,auction_grid_2025,7,,1361,1314,mapped_combo,"alias_map,spelling_exact"
2025,South,7,Marquette,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,8,1266,,,mapped_single,spelling_exact
2025,South,16,ABST/SFPA,4000,UNKNOWN,,,,,,,,,,,,,,Y,ABST,SFPA,auction_grid_2025,9,,1106,1384,mapped_combo,alias_map
2025,South,2,Michigan St,12000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,10,1277,,,mapped_single,spelling_exact
2025,South,15,Bryant,3200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,11,1136,,,mapped_single,spelling_exact
2025,South,3,Iowa St,8500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,12,1235,,,mapped_single,spelling_exact
2025,South,13,Yale,3700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,13,1463,,,mapped_single,spelling_exact
2025,South,1,Auburn,23000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,14,1120,,,mapped_single,spelling_exact
2025,South,5,Michigan,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,15,1276,,,mapped_single,spelling_exact
2025,South,14,Lipscomb,2500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,16,1252,,,mapped_single,spelling_exact
2025,South,9,Creighton,3500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,17,1166,,,mapped_single,spelling_exact
2025,South,6,Ole Miss,6800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,18,1279,,,mapped_single,spelling_exact
2025,West,8,Uconn,4500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3,1163,,,mapped_single,spelling_exact
2025,West,10,Arkansas,2800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4,1116,,,mapped_single,spelling_exact
2025,West,12,Colorado St,3800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,5,1161,,,mapped_single,spelling_exact
2025,West,4,Maryland,10400,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,6,1268,,,mapped_single,spelling_exact
2025,West,11,Drake,3500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,7,1179,,,mapped_single,spelling_exact
2025,West,7,Kansas,5800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,8,1242,,,mapped_single,spelling_exact
2025,West,16,Norfolk St,4800,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,9,1313,,,mapped_single,spelling_exact
2025,West,2,St John,12500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,10,1385,,,mapped_single,alias_map
2025,West,15,Omaha,4500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,11,1303,,,mapped_single,spelling_exact
2025,West,3,Texas Tech,10000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,12,1403,,,mapped_single,spelling_exact
2025,West,13,Grand Canyon,3500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,13,1213,,,mapped_single,spelling_exact
2025,West,1,Florida,31000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,14,1196,,,mapped_single,spelling_exact
2025,West,5,Memphis,5000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,15,1272,,,mapped_single,spelling_exact
2025,West,14,UNCW,3000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,16,1423,,,mapped_single,spelling_exact
2025,West,9,Oklahoma,3200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,17,1328,,,mapped_single,spelling_exact
2025,West,6,Mizzou,8000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,18,1281,,,mapped_single,alias_map
2025,East,8,Mississippi St,3400,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,3,1280,,,mapped_single,spelling_exact
2025,East,10,Vanderbilt,2600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,4,1435,,,mapped_single,spelling_exact
2025,East,12,Liberty,2200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,5,1251,,,mapped_single,spelling_exact
2025,East,4,Arizona,11000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,6,1112,,,mapped_single,spelling_exact
2025,East,11,VCU,4000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,7,1433,,,mapped_single,spelling_exact
2025,East,7,St Mary,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,8,1291,1110,1291,override,manual_override
2025,East,16,American,4500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,9,1110,,,mapped_single,spelling_exact
2025,East,2,Alabama,17500,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,10,1104,,,mapped_single,spelling_exact
2025,East,15,Robert Morris,4700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,11,1352,,,mapped_single,spelling_exact
2025,East,3,Wisconsin,7200,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,12,1458,,,mapped_single,spelling_exact
2025,East,13,Akron,3300,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,13,1103,,,mapped_single,spelling_exact
2025,East,1,Duke,37000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,14,1181,,,mapped_single,spelling_exact
2025,East,5,Oregon,6000,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,15,1332,,,mapped_single,spelling_exact
2025,East,14,Montana,3600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,16,1285,,,mapped_single,spelling_exact
2025,East,9,Baylor,3600,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,17,1124,,,mapped_single,spelling_exact
2025,East,6,BYU,7700,UNKNOWN,,,,,,,,,,,,,,N,,,auction_grid_2025,18,1140,,,mapped_single,spelling_exact
