SEED,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
1,18.5,1,-5.3,14,258,206,52,0.798,64,62,52,38,24,18,12,64,99.90%
11,15.3,2,15.7,1,122,58,64,0.475,64,32,16,6,4,0,0,0,11.70%
3,6.6,3,4.3,3,185,122,63,0.659,64,56,38,19,5,3,1,0,79.40%
15,4.1,4,5.4,2,76,12,64,0.158,64,7,4,1,0,0,0,0,0.00%
12,4,5,2.6,6,99,35,64,0.354,64,26,8,1,0,0,0,0,4.50%
7,3.2,6,2.6,7,123,60,63,0.488,64,39,12,4,3,1,1,0,21.70%
4,2.6,7,3.3,5,166,103,63,0.62,64,49,34,11,6,2,1,0,74.40%
8,0.9,8,3.5,4,113,49,64,0.434,64,33,7,3,3,3,0,0,15.20%
16,-1.1,9,1.2,9,66,2,64,0.03,64,2,0,0,0,0,0,0,0.00%
9,-1.3,10,2.6,8,106,42,64,0.396,64,31,5,4,2,0,0,0,12.30%
13,-2.9,11,1,10,81,17,64,0.21,64,15,2,0,0,0,0,0,0.60%
2,-6.8,12,-9.9,15,202,139,63,0.688,64,57,41,26,11,3,1,64,97.40%
14,-6.9,13,-2.3,12,72,8,64,0.111,64,8,0,0,0,0,0,0,0.50%
10,-8.5,14,-2.6,13,100,36,64,0.36,64,25,7,3,1,0,0,0,13.40%
5,-10.1,15,-1.8,11,136,72,64,0.529,64,38,20,7,5,2,0,0,50.60%
6,-19.6,16,-20.3,16,111,47,64,0.423,64,32,10,5,0,0,0,0,29.90%
