COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Roy Williams,8.2,1,5.5,6,44,34,10,0.773,12,11,8,6,4,3,2,8,95.50%,53.80%
2,Tom Izzo,8,2,9.6,1,47,32,15,0.681,15,13,9,5,4,1,0,4,86.70%,34.20%
3,Brad Stevens,6.5,3,7.6,3,17,12,5,0.706,5,4,2,2,2,2,0,0,25.50%,3.70%
4,John Calipari,6.2,4,8.6,2,52,39,13,0.75,14,12,10,8,5,3,1,8,99.00%,74.90%
5,Dana Altman,6.1,5,6.7,4,24,16,8,0.667,8,8,5,2,1,0,0,1,43.10%,8.20%
6,Jim Boeheim,5.6,6,4.7,9,31,21,10,0.677,10,9,7,3,2,0,0,2,69.80%,20.80%
7,John Beilein,5.5,7,6.5,5,28,19,9,0.679,9,7,5,3,2,2,0,2,65.90%,21.50%
8,Jay Wright,4.8,8,4,14,40,29,11,0.725,13,11,6,4,4,2,2,7,92.90%,55.10%
9,Eric Musselman,4.6,9,3.6,17,16,10,6,0.625,6,4,4,2,0,0,0,0,15.80%,1.80%
10,Kevin Ollie,4.4,10,5.5,7,8,7,1,0.875,2,2,1,1,1,1,1,0,15.00%,2.90%
11,Porter Moser,4.1,11,4.6,11,8,6,2,0.75,2,2,2,1,1,0,0,0,8.30%,1.10%
12,Frank Martin,4,12,4.3,13,15,10,5,0.667,5,5,2,2,1,0,0,1,32.40%,6.70%
13,Dan Hurley,4,13,5.5,8,18,14,4,0.778,6,4,2,2,2,2,2,1,71.50%,38.80%
14,Bill Self,3.9,14,-2.5,305,55,41,14,0.745,16,16,9,7,4,3,2,12,98.80%,73.30%
15,Jim Larranaga,3.7,15,3.1,19,20,12,8,0.6,8,5,4,2,1,0,0,1,31.80%,5.10%
16,Hubert Davis,3.4,16,3,20,9,7,2,0.778,2,2,2,1,1,1,0,1,26.30%,3.80%
17,Mark Few,3.4,17,4.5,12,50,34,16,0.68,16,15,10,5,2,2,0,6,97.40%,68.70%
18,Chris Beard,3.4,18,4.7,10,16,11,5,0.688,5,5,2,2,1,1,0,0,44.30%,13.50%
19,Billy Donovan,3.2,19,4,15,18,13,5,0.722,5,4,4,4,1,0,0,2,68.60%,27.10%
20,Jim Calhoun,3.2,20,2.7,22,13,10,3,0.769,4,2,2,2,2,1,1,1,44.80%,14.40%
21,Shaheen Holloway,2.8,21,2.9,21,4,3,1,0.75,1,1,1,1,0,0,0,0,0.10%,0.00%
22,Dusty May,2.8,22,2.7,23,6,4,2,0.667,2,1,1,1,1,0,0,0,3.40%,0.40%
23,Rick Pitino,2.6,23,4,16,32,22,10,0.688,11,7,6,5,2,1,1,3,89.50%,48.50%
24,Mike Krzyzewski,2.4,24,0.1,95,44,33,11,0.75,13,11,9,6,3,2,2,11,97.20%,61.10%
25,Sean Miller,2.2,25,2,26,30,20,10,0.667,10,8,8,4,0,0,0,3,80.60%,32.40%
