CONF ID,CONF,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
1,A10,-1.5,24,-5.8,29,80,32,48,0.4,48,23,7,2,0,0,0,0,9.00%
2,ACC,17.5,1,12.4,1,247,157,90,0.636,95,65,43,25,12,7,5,27,95.30%
3,AE,-1.8,25,-0.9,24,17,1,16,0.059,16,1,0,0,0,0,0,0,0.00%
4,Amer,-5.3,30,-0.6,21,50,27,23,0.54,24,14,6,3,2,1,1,3,51.20%
5,ASun,0.2,13,1.2,11,20,4,16,0.2,16,3,1,0,0,0,0,0,0.50%
6,B10,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,92.40%
7,B12,-11.3,31,-15.9,32,239,139,100,0.582,103,70,34,20,7,5,3,22,95.60%
8,BE,-0.6,19,-7.3,30,232,140,92,0.603,98,63,34,19,12,6,6,23,95.20%
9,BSky,-2.6,27,-2.2,27,15,0,15,0,15,0,0,0,0,0,0,0,0.00%
10,BSth,-1.3,22,-1.5,26,14,0,14,0,14,0,0,0,0,0,0,0,0.00%
11,BW,-1.4,23,-0.8,23,18,2,16,0.111,16,2,0,0,0,0,0,0,0.20%
12,CAA,0.2,16,0.1,16,25,7,18,0.28,18,4,1,1,1,0,0,0,1.10%
13,CUSA,4.2,4,4.8,4,35,17,18,0.486,18,9,3,2,2,1,0,2,31.90%
14,Horz,6,3,7.9,2,30,13,17,0.433,17,5,2,2,2,2,0,0,3.70%
15,Ivy,3.1,5,3.8,8,23,8,15,0.348,15,6,2,0,0,0,0,0,0.50%
16,MAAC,1.8,7,2.2,9,20,5,15,0.25,15,3,1,1,0,0,0,0,0.00%
17,MAC,0.2,14,0.9,12,22,6,16,0.273,16,5,1,0,0,0,0,0,0.20%
18,MEAC,0.2,15,0.4,15,12,1,11,0.083,11,1,0,0,0,0,0,0,0.00%
19,MVC,1.7,9,4.1,7,42,21,21,0.5,21,12,5,2,2,0,0,1,17.10%
20,MWC,-12.5,32,-15.6,31,65,23,42,0.354,42,14,6,1,1,1,0,1,18.50%
21,NEC,0.3,11,0.6,13,11,1,10,0.091,10,1,0,0,0,0,0,0,0.00%
22,OVC,0.1,17,0.1,17,20,5,15,0.25,15,5,0,0,0,0,0,0,0.30%
24,P12,6.1,2,7.3,3,146,83,63,0.568,63,44,27,9,3,0,0,9,66.50%
25,Pat,-2.2,26,-1.4,25,17,1,16,0.059,16,1,0,0,0,0,0,0,0.10%
26,SB,1.8,8,1.4,10,20,5,15,0.25,15,4,1,0,0,0,0,0,0.20%
27,SC,-1.2,21,0.1,18,21,5,16,0.238,16,3,1,1,0,0,0,0,2.40%
28,SEC,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,87.90%
29,Slnd,0.3,12,0.4,14,16,3,13,0.188,13,3,0,0,0,0,0,0,0.30%
30,Sum,-1,20,-0.8,22,19,3,16,0.158,16,2,1,0,0,0,0,0,0.00%
31,SWAC,-0.2,18,-0.1,20,8,0,8,0,8,0,0,0,0,0,0,0,0.00%
32,WAC,-4,29,-3.7,28,19,2,17,0.105,17,2,0,0,0,0,0,0,1.00%
33,WCC,-2.8,28,0.1,19,70,40,30,0.571,30,20,11,5,2,2,0,6,71.00%
