season,team_id,team_name,reached_playin,won_playin,reached_r64,reached_r32,reached_s16,reached_e8,reached_f4,reached_f2,won_championship
1985,1104,Alabama,0,0,1,1,1,0,0,0,0
1985,1112,Arizona,0,0,1,0,0,0,0,0,0
1985,1116,Arkansas,0,0,1,1,0,0,0,0,0
1985,1120,Auburn,0,0,1,1,1,0,0,0,0
1985,1130,Boston College,0,0,1,1,1,0,0,0,0
1985,1173,Dayton,0,0,1,0,0,0,0,0,0
1985,1177,DePaul,0,0,1,0,0,0,0,0,0
1985,1181,Duke,0,0,1,1,0,0,0,0,0
1985,1192,F Dickinson,0,0,1,0,0,0,0,0,0
1985,1207,Georgetown,0,0,1,1,1,1,1,1,0
1985,1208,Georgia,0,0,1,1,0,0,0,0,0
1985,1210,Georgia Tech,0,0,1,1,1,1,0,0,0
1985,1228,Illinois,0,0,1,1,1,0,0,0,0
1985,1229,Illinois St,0,0,1,1,0,0,0,0,0
1985,1233,Iona,0,0,1,0,0,0,0,0,0
1985,1234,Iowa,0,0,1,0,0,0,0,0,0
1985,1235,Iowa St,0,0,1,0,0,0,0,0,0
1985,1242,Kansas,0,0,1,1,0,0,0,0,0
1985,1246,Kentucky,0,0,1,1,1,0,0,0,0
1985,1250,Lehigh,0,0,1,0,0,0,0,0,0
1985,1256,Louisiana Tech,0,0,1,1,1,0,0,0,0
1985,1260,Loyola-Chicago,0,0,1,1,1,0,0,0,0
1985,1261,LSU,0,0,1,0,0,0,0,0,0
1985,1267,Marshall,0,0,1,0,0,0,0,0,0
1985,1268,Maryland,0,0,1,1,1,0,0,0,0
1985,1272,Memphis,0,0,1,1,1,1,1,0,0
1985,1273,Mercer,0,0,1,0,0,0,0,0,0
1985,1275,Miami OH,0,0,1,0,0,0,0,0,0
1985,1276,Michigan,0,0,1,1,0,0,0,0,0
1985,1277,Michigan St,0,0,1,0,0,0,0,0,0
1985,1292,MTSU,0,0,1,0,0,0,0,0,0
1985,1298,Navy,0,0,1,1,0,0,0,0,0
1985,1299,NC A&T,0,0,1,0,0,0,0,0,0
1985,1301,NC State,0,0,1,1,1,1,0,0,0
1985,1305,Nevada,0,0,1,0,0,0,0,0,0
1985,1314,North Carolina,0,0,1,1,1,1,0,0,0
1985,1318,Northeastern,0,0,1,0,0,0,0,0,0
1985,1323,Notre Dame,0,0,1,1,0,0,0,0,0
1985,1325,Ohio,0,0,1,0,0,0,0,0,0
1985,1326,Ohio St,0,0,1,1,0,0,0,0,0
1985,1328,Oklahoma,0,0,1,1,1,1,0,0,0
1985,1330,Old Dominion,0,0,1,0,0,0,0,0,0
1985,1333,Oregon St,0,0,1,0,0,0,0,0,0
1985,1335,Penn,0,0,1,0,0,0,0,0,0
1985,1337,Pepperdine,0,0,1,0,0,0,0,0,0
1985,1338,Pittsburgh,0,0,1,0,0,0,0,0,0
1985,1345,Purdue,0,0,1,0,0,0,0,0,0
1985,1361,San Diego St,0,0,1,0,0,0,0,0,0
1985,1374,SMU,0,0,1,1,0,0,0,0,0
1985,1380,Southern Univ,0,0,1,0,0,0,0,0,0
1985,1385,St John's,0,0,1,1,1,1,1,0,0
1985,1393,Syracuse,0,0,1,1,0,0,0,0,0
1985,1396,Temple,0,0,1,1,0,0,0,0,0
1985,1403,Texas Tech,0,0,1,0,0,0,0,0,0
1985,1409,Tulsa,0,0,1,0,0,0,0,0,0
1985,1412,UAB,0,0,1,1,0,0,0,0,0
1985,1424,UNLV,0,0,1,1,0,0,0,0,0
1985,1425,USC,0,0,1,0,0,0,0,0,0
1985,1431,UTEP,0,0,1,1,0,0,0,0,0
1985,1433,VCU,0,0,1,1,0,0,0,0,0
1985,1437,Villanova,0,0,1,1,1,1,1,1,1
